alpha,coverage (for count-based),coverage (for majority-based)
0.10,3.18,3.58
0.20,2.57,2.84
0.30,2.27,2.47
0.40,2.08,2.25
0.50,1.95,2.09
0.60,1.86,1.97
0.70,1.78,1.88
0.80,1.72,1.81
0.90,1.67,1.76
1.00,1.63,1.71
1.10,1.60,1.67
1.20,1.57,1.63
1.30,1.54,1.60
1.40,1.52,1.57
1.50,1.50,1.55
1.60,1.48,1.53
1.70,1.47,1.51
1.80,1.45,1.49
1.90,1.44,1.48
2.00,1.43,1.46
2.10,1.42,1.45
2.20,1.41,1.44
2.30,1.40,1.43
2.40,1.39,1.42
2.50,1.38,1.41
2.60,1.37,1.40
2.70,1.36,1.39
2.80,1.36,1.39
2.90,1.35,1.38
3.00,1.35,1.37
