alpha,coverage
0.10,2.64
0.20,2.15
0.30,1.91
0.40,1.75
0.50,1.65
0.60,1.57
0.70,1.51
0.80,1.46
0.90,1.42
1.00,1.39
1.10,1.36
1.20,1.33
1.30,1.31
1.40,1.29
1.50,1.28
1.60,1.26
1.70,1.25
1.80,1.24
1.90,1.23
2.00,1.22
2.10,1.21
2.20,1.20
2.30,1.19
2.40,1.18
2.50,1.18
2.60,1.17
2.70,1.17
2.80,1.16
2.90,1.16
3.00,1.15
3.10,1.15
3.20,1.14
3.30,1.14
3.40,1.13
3.50,1.13
3.60,1.13
3.70,1.12
3.80,1.12
3.90,1.12
4.00,1.12
4.10,1.11
4.20,1.11
4.30,1.11
4.40,1.11
4.50,1.10
4.60,1.10
4.70,1.10
4.80,1.10
4.90,1.10
5.00,1.09
5.10,1.09
5.20,1.09
5.30,1.09
5.40,1.09
5.50,1.09
5.60,1.08
5.70,1.08
5.80,1.08
5.90,1.08
6.00,1.08
6.10,1.08
6.20,1.08
6.30,1.08
6.40,1.07
6.50,1.07
6.60,1.07
6.70,1.07
6.80,1.07
6.90,1.07
7.00,1.07
7.10,1.07
7.20,1.07
7.30,1.07
7.40,1.06
7.50,1.06
7.60,1.06
7.70,1.06
7.80,1.06
7.90,1.06
8.00,1.06
8.10,1.06
8.20,1.06
8.30,1.06
8.40,1.06
8.50,1.06
8.60,1.06
8.70,1.06
8.80,1.05
8.90,1.05
9.00,1.05
9.10,1.05
9.20,1.05
9.30,1.05
9.40,1.05
9.50,1.05
9.60,1.05
9.70,1.05
9.80,1.05
9.90,1.05
10.00,1.05
