alpha,coverage (for count-based),coverage (for majority-based)
0.01,6.24,7.30
0.02,5.33,6.25
0.03,4.82,5.65
0.04,4.46,5.23
0.05,4.20,4.92
0.06,3.99,4.66
0.07,3.82,4.46
0.08,3.67,4.28
0.09,3.54,4.12
0.10,3.43,3.99
0.11,3.33,3.87
0.12,3.25,3.76
0.13,3.17,3.66
0.14,3.10,3.57
0.15,3.03,3.49
0.16,2.97,3.42
0.17,2.91,3.35
0.18,2.86,3.28
0.19,2.81,3.22
0.20,2.77,3.16
0.21,2.73,3.11
0.22,2.69,3.06
0.23,2.65,3.01
0.24,2.62,2.97
0.25,2.58,2.93
0.26,2.55,2.89
0.27,2.52,2.85
0.28,2.49,2.81
0.29,2.47,2.78
0.30,2.44,2.75
0.31,2.42,2.72
0.32,2.39,2.69
0.33,2.37,2.66
0.34,2.35,2.63
0.35,2.33,2.60
0.36,2.31,2.58
0.37,2.29,2.55
0.38,2.27,2.53
0.39,2.25,2.51
0.40,2.24,2.49
0.41,2.22,2.47
0.42,2.20,2.45
0.43,2.19,2.43
0.44,2.17,2.41
0.45,2.16,2.39
0.46,2.15,2.37
0.47,2.13,2.35
0.48,2.12,2.34
0.49,2.11,2.32
0.50,2.10,2.31
0.51,2.08,2.29
0.52,2.07,2.28
0.53,2.06,2.26
0.54,2.05,2.25
0.55,2.04,2.24
0.56,2.03,2.22
0.57,2.02,2.21
0.58,2.01,2.20
0.59,2.00,2.18
0.60,1.99,2.17
0.61,1.98,2.16
0.62,1.97,2.15
0.63,1.96,2.14
0.64,1.96,2.13
0.65,1.95,2.12
0.66,1.94,2.11
0.67,1.93,2.10
0.68,1.92,2.09
0.69,1.92,2.08
0.70,1.91,2.07
0.71,1.90,2.06
0.72,1.90,2.05
0.73,1.89,2.04
0.74,1.88,2.03
0.75,1.88,2.03
0.76,1.87,2.02
0.77,1.86,2.01
0.78,1.86,2.00
0.79,1.85,2.00
0.80,1.84,1.99
0.81,1.84,1.98
0.82,1.83,1.97
0.83,1.83,1.97
0.84,1.82,1.96
0.85,1.82,1.95
0.86,1.81,1.95
0.87,1.81,1.94
0.88,1.80,1.93
0.89,1.80,1.93
0.90,1.79,1.92
0.91,1.79,1.91
0.92,1.78,1.91
0.93,1.78,1.90
0.94,1.77,1.90
0.95,1.77,1.89
0.96,1.76,1.89
0.97,1.76,1.88
0.98,1.76,1.88
0.99,1.75,1.87
1.00,1.75,1.86
