alpha = 0.1

Coverage = 2.5
Bit errors = 14905 (abs), 0.0529296875 (rel)
Bit errors = 15229 (abs), 0.0540802556818 (rel)
Bit errors = 13438 (abs), 0.0477201704545 (rel)
Bit errors = 14192 (abs), 0.0503977272727 (rel)
Bit errors = 11221 (abs), 0.0398473011364 (rel)
Bit errors = 13693 (abs), 0.0486257102273 (rel)
Bit errors = 16186 (abs), 0.0574786931818 (rel)
Bit errors = 13823 (abs), 0.0490873579545 (rel)
Bit errors = 13300 (abs), 0.0472301136364 (rel)
Bit errors = 14114 (abs), 0.0501207386364 (rel)
Bit errors = 12146 (abs), 0.0431321022727 (rel)
Bit errors = 13784 (abs), 0.0489488636364 (rel)
Bit errors = 17766 (abs), 0.0630894886364 (rel)
Bit errors = 12629 (abs), 0.0448473011364 (rel)
Bit errors = 17930 (abs), 0.063671875 (rel)
Bit errors = 13532 (abs), 0.0480539772727 (rel)
Bit errors = 11583 (abs), 0.0411328125 (rel)
Bit errors = 16609 (abs), 0.0589808238636 (rel)
Bit errors = 17668 (abs), 0.0627414772727 (rel)
Bit errors = 14715 (abs), 0.0522549715909 (rel)
Coverage = 2.5, Success percentage = 0%

Coverage = 3.0
Bit errors = 2594 (abs), 0.00921164772727 (rel)
Bit errors = 3884 (abs), 0.0137926136364 (rel)
Bit errors = 2755 (abs), 0.00978338068182 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 7715 (abs), 0.0273970170455 (rel)
Bit errors = 6359 (abs), 0.0225816761364 (rel)
Bit errors = 3212 (abs), 0.01140625 (rel)
Bit errors = 4349 (abs), 0.0154438920455 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 6710 (abs), 0.023828125 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 4631 (abs), 0.0164453125 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 3548 (abs), 0.0125994318182 (rel)
Bit errors = 5866 (abs), 0.0208309659091 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 5446 (abs), 0.0193394886364 (rel)
Bit errors = 4083 (abs), 0.0144992897727 (rel)
Bit errors = 8208 (abs), 0.0291477272727 (rel)
Coverage = 3.0, Success percentage = 30%

Coverage = 3.1
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Coverage = 3.1, Success percentage = 100%

Coverage = 3.2
Bit errors = 4892 (abs), 0.0173721590909 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 4870 (abs), 0.0172940340909 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Coverage = 3.2, Success percentage = 90%

Coverage = 3.5
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Coverage = 3.5, Success percentage = 100%

