alpha,coverage,success-percentage
0.1,2.54,15
0.1,2.64,40
0.1,2.74,100
0.1,2.84,100
0.1,2.94,100
0.2,2.05,0
0.2,2.15,40
0.2,2.25,90
0.2,2.35,100
0.2,2.45,100
0.3,1.81,0
0.3,1.91,50
0.3,2.01,100
0.3,2.11,100
0.3,2.21,100
0.5,1.55,5
0.5,1.65,60
0.5,1.75,100
0.5,1.85,100
0.5,1.95,100
0.8,1.36,0
0.8,1.46,40
0.8,1.56,100
0.8,1.66,100
0.8,1.76,100
1.2,1.23,0
1.2,1.33,70
1.2,1.43,100
1.2,1.53,100
1.2,1.63,100
1.5,1.18,0
1.5,1.28,55
1.5,1.38,100
1.5,1.48,100
1.5,1.58,100
2.0,1.12,0
2.0,1.22,50
2.0,1.32,100
2.0,1.42,100
2.0,1.52,100
