alpha,coverage,success-percentage
0.1,2.54,45
0.1,2.64,55
0.1,2.74,55
0.1,2.84,95
0.1,2.94,85
0.2,2.05,15
0.2,2.15,45
0.2,2.25,85
0.2,2.35,85
0.2,2.45,90
0.3,1.81,25
0.3,1.91,60
0.3,2.01,80
0.3,2.11,100
0.3,2.21,100
0.5,1.55,20
0.5,1.65,65
0.5,1.75,100
0.5,1.85,95
0.5,1.95,100
0.8,1.36,5
0.8,1.46,60
0.8,1.56,90
0.8,1.66,100
0.8,1.76,100
1.2,1.23,10
1.2,1.33,40
1.2,1.43,80
1.2,1.53,100
1.2,1.63,100
1.5,1.18,0
1.5,1.28,45
1.5,1.38,100
1.5,1.48,100
1.5,1.58,100
2.0,1.12,0
2.0,1.22,90
2.0,1.32,95
2.0,1.42,100
2.0,1.52,100
