alpha_raptor,BCH_bits,alpha,coverage,success-percentage
0.01,1,0.05,5.00,0
0.01,1,0.05,6.00,0
0.01,1,0.05,7.00,0
0.01,2,0.08,5.00,0
0.01,2,0.08,6.00,0
0.01,2,0.08,7.00,66
0.01,3,0.12,5.00,0
0.01,3,0.12,6.00,66
0.01,3,0.12,7.00,100
0.01,4,0.18,5.00,0
0.01,4,0.18,6.00,100
0.01,4,0.18,7.00,100
0.02,1,0.06,5.00,0
0.02,1,0.06,6.00,0
0.02,1,0.06,7.00,0
0.02,2,0.09,5.00,0
0.02,2,0.09,6.00,0
0.02,2,0.09,7.00,100
0.02,3,0.13,5.00,0
0.02,3,0.13,6.00,100
0.02,3,0.13,7.00,100
0.02,4,0.19,5.00,100
0.02,4,0.19,6.00,100
0.02,4,0.19,7.00,100
0.03,1,0.07,5.00,0
0.03,1,0.07,6.00,0
0.03,1,0.07,7.00,33
0.03,2,0.10,5.00,0
0.03,2,0.10,6.00,0
0.03,2,0.10,7.00,100
0.03,3,0.14,5.00,100
0.03,3,0.14,6.00,100
0.03,3,0.14,7.00,100
0.03,4,0.20,5.00,100
0.03,4,0.20,6.00,100
0.03,4,0.20,7.00,100
0.04,1,0.08,5.00,0
0.04,1,0.08,6.00,0
0.04,1,0.08,7.00,100
0.04,2,0.11,5.00,0
0.04,2,0.11,6.00,66
0.04,2,0.11,7.00,100
0.04,3,0.15,5.00,100
0.04,3,0.15,6.00,100
0.04,3,0.15,7.00,100
0.04,4,0.21,5.00,100
0.04,4,0.21,6.00,100
0.04,4,0.21,7.00,100
0.05,1,0.09,5.00,0
0.05,1,0.09,6.00,0
0.05,1,0.09,7.00,100
0.05,2,0.13,5.00,0
0.05,2,0.13,6.00,100
0.05,2,0.13,7.00,100
0.05,3,0.16,5.00,100
0.05,3,0.16,6.00,100
0.05,3,0.16,7.00,100
0.05,4,0.23,5.00,100
0.05,4,0.23,6.00,100
0.05,4,0.23,7.00,100
0.06,1,0.10,5.00,0
0.06,1,0.10,6.00,0
0.06,1,0.10,7.00,100
0.06,2,0.14,5.00,0
0.06,2,0.14,6.00,100
0.06,2,0.14,7.00,100
0.06,3,0.17,5.00,100
0.06,3,0.17,6.00,100
0.06,3,0.17,7.00,100
0.06,4,0.24,5.00,100
0.06,4,0.24,6.00,100
0.06,4,0.24,7.00,100
0.07,1,0.11,5.00,0
0.07,1,0.11,6.00,33
0.07,1,0.11,7.00,100
0.07,2,0.15,5.00,0
0.07,2,0.15,6.00,100
0.07,2,0.15,7.00,100
0.07,3,0.18,5.00,100
0.07,3,0.18,6.00,100
0.07,3,0.18,7.00,100
0.07,4,0.25,5.00,100
0.07,4,0.25,6.00,100
0.07,4,0.25,7.00,100
0.08,1,0.12,5.00,0
0.08,1,0.12,6.00,66
0.08,1,0.12,7.00,100
0.08,2,0.16,5.00,66
0.08,2,0.16,6.00,100
0.08,2,0.16,7.00,100
0.08,3,0.20,5.00,100
0.08,3,0.20,6.00,100
0.08,3,0.20,7.00,100
0.08,4,0.26,5.00,100
0.08,4,0.26,6.00,100
0.08,4,0.26,7.00,100
0.09,1,0.13,5.00,0
0.09,1,0.13,6.00,66
0.09,1,0.13,7.00,100
0.09,2,0.17,5.00,66
0.09,2,0.17,6.00,100
0.09,2,0.17,7.00,100
0.09,3,0.21,5.00,100
0.09,3,0.21,6.00,100
0.09,3,0.21,7.00,100
0.09,4,0.27,5.00,100
0.09,4,0.27,6.00,100
0.09,4,0.27,7.00,100
