alpha = 0.2

Coverage = 2.5
Bit errors = 5377 (abs), 0.0175032552083 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 10753 (abs), 0.0350032552083 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 5524 (abs), 0.0179817708333 (rel)
Bit errors = 5375 (abs), 0.0174967447917 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 7605 (abs), 0.024755859375 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 17054 (abs), 0.0555143229167 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 12821 (abs), 0.0417350260417 (rel)
Bit errors = 14693 (abs), 0.0478287760417 (rel)
Bit errors = 6721 (abs), 0.0218782552083 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 12168 (abs), 0.039609375 (rel)
Coverage = 2.5, Success percentage = 50%

Coverage = 2.6
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Coverage = 2.6, Success percentage = 100%

Coverage = 2.7
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Coverage = 2.7, Success percentage = 100%

Coverage = 2.8
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Bit errors = 0 (abs), 0.0 (rel)
Coverage = 2.8, Success percentage = 100%

